source,target
Facenonmoon,podoradong
Facenonmoon,Kanseulir
Facenonmoon,podo_ora_dong
ida_ahfadz,susipudjiastuti
AgusPratono3,ovan_ghozali1
mudha_satriya,bwd12
mudha_satriya,cintanegeriqu
mudha_satriya,susipudjiastuti
mudha_satriya,Mayariris2
mudha_satriya,SantorinisSun
mudha_satriya,jawapos
mudha_satriya,EkoSepu21260933
mudha_satriya,KakekHalal
mudha_satriya,tjhinfar21
AlifLam11686062,M_Asmara1701
AlifLam11686062,susipudjiastuti
AlifLam11686062,podo_ora_dong
Faylasalle2,musniumar
Faylasalle2,podoradong
Faylasalle2,susipudjiastuti
Rudi61945070,susipudjiastuti
ReagenRonal,susipudjiastuti
Coronna_Update,JYVL ricerch1 drpriono1 KawalCOVID19
Coronna_Update,susipudjiastuti
Quvvatt,MzRoel Quvvatt
Quvvatt,NephiLaxmus
akuntwittet,Sifahrn02081 outofcontext_id rommyaw
badlucky_013,WartaEkonomi
badlucky_013,susipudjiastuti
badlucky_013,detikfinance
hidayati006,NewsMuslimah
hidayati006,ARH1924_New
joseph_hono,babegalak1 NotesofMila
onomsalam2pas,Sahabat_Bangsa
onomsalam2pas,idntodayco
onomsalam2pas,_KingPurwa
onomsalam2pas,AdhieMassardi
onomsalam2pas,NephiLaxmus
ekurnia82,merdekadotcom
ekurnia82,susipudjiastuti
arahluruss,susipudjiastuti
TsTsp71,susipudjiastuti
TsTsp71,Zumpio aniesbaswedan KemenkeuRI
rezasixeleven,yuswohady
antyAgassi,susipudjiastuti
ferryjr,susipudjiastuti
terpakuwaktu,student_fess
hime1108,susipudjiastuti
rozikinmshobrie,susipudjiastuti
a4f87bdda1c54c0,susipudjiastuti
a4f87bdda1c54c0,Betzlectric
a4f87bdda1c54c0,eko2471
sooowyyy,Edhie_Baskoro
Sitijua91628571,ARH1924_New
denmas99366403,susipudjiastuti
rustam_irsyad,susipudjiastuti
Beben_17068_HK,Beben_17068_HK CNNIndonesia
Beben_17068_HK,CNNIndonesia
askmearmything,jinniesteacher1
real1ikaa_,Dandhy_Laksono
real1ikaa_,susipudjiastuti
Jogja_Menyapa,susipudjiastuti
ghanieierfan,basukids1 satoedoeasatoe
ghanieierfan,rockstation17 ghanieierfan
DontcryindoKid,ogiwicaksana yadiwinarto firmanyursak
DontcryindoKid,AdhieMassardi
DontcryindoKid,dapitnih
DontcryindoKid,susipudjiastuti
DontcryindoKid,Kanseulir
DontcryindoKid,CiomasEmpang
DontcryindoKid,LexWu13
AgusmanTanjung5,ovan_ghozali1
villa_novila,susipudjiastuti
CCMpit,susipudjiastuti
abi_faeyza,ARH1924_New
Krimatnns,susipudjiastuti
GagakNew,susipudjiastuti
dapurdebe,susipudjiastuti
Gapuroumat,susipudjiastuti
windyWAW,susipudjiastuti
ises2208,geloraco
ises2208,susipudjiastuti
NoorAfeefa2,ARH1924_New
satoedoeasatoe,basukids1 satoedoeasatoe
satoedoeasatoe,CatatanAli07
satoedoeasatoe,CatatanAli07
satoedoeasatoe,CatatanAli07
aesthemiilK_,Edhie_Baskoro
aggnusehsey,susipudjiastuti
adi_fir,susipudjiastuti
yakultnese,Edhie_Baskoro
Azam3101101,susipudjiastuti
kiasleo,susipudjiastuti
mamaangie9,susipudjiastuti
mamaangie9,podo_ora_dong
mamaangie9,AdhieMassardi
mamaangie9,podoradong
basukids1,satoedoeasatoe
satriazone,susipudjiastuti
Za_At_Fa,tjhinfar21
Za_At_Fa,gadisresidu_b3
AlvaFila,susipudjiastuti
AlvaFila,LexWu13
MrBullshit212,tjhinfar21
MrBullshit212,Betzlectric
MrBullshit212,gadisresidu_b3
MangkokIjo,susipudjiastuti
MangkokIjo,CNNIndonesia
H_El_Hidayat,ARH1924_New
AwindYusuf,susipudjiastuti
nugrahagung8,detikcom
PurworejoUpdate,yuswohady
fainssid,susipudjiastuti
ThePitho,susipudjiastuti
noor_bee,susipudjiastuti
fratama_advendi,detikcom
ryolandafit,CNNIndonesia
ryolandafit,detikcom
ryolandafit,CNNIndonesia
ryolandafit,detikfinance
ryolandafit,OfficialRCTI okezonenews
ryolandafit,CNNIndonesia
ryolandafit,detikcom
ryolandafit,CNNIndonesia
nasibaik,septian ainunnajib
robbysa,susipudjiastuti
jeackyy,susipudjiastuti
SanAscLaw,Betzlectric
SanAscLaw,SantorinisSun
SanAscLaw,teliaz223
SanAscLaw,KakekHalal jokowi PerekonomianRI airlangga
SanAscLaw,teliaz223 detikcom
Nabillanajmii,susipudjiastuti
Nabillanajmii,Dennysiregar7
Nabillanajmii,AgusYudhoyono
aggaalbugisi,ARH1924_New
MsyaiinS,CNNIndonesia
MsyaiinS,Dennysiregar7
MsyaiinS,susipudjiastuti
MsyaiinS,ChusnulSyantik
mh3ds,susipudjiastuti
mh3ds,podo_ora_dong
aprilndaprinda,susipudjiastuti
agylardi,jusdalle
alfinamiruddin,susipudjiastuti
alfinamiruddin,susipudjiastuti
Adudu7231,susipudjiastuti
Adudu7231,M_Asmara1701
r0nggo05,susipudjiastuti
raihankarimi32,ovan_ghozali1
AssyfRizal,susipudjiastuti
otaksiput,susipudjiastuti
bakoelrotimanis,cnbcindonesia
bakoelrotimanis,susipudjiastuti
Mr692142,susipudjiastuti
Mr692142,ChusnulSyantik
Mr692142,Dennysiregar7
bobyidol,susipudjiastuti
WildanJuli,susipudjiastuti
andyal81,susipudjiastuti
IwanZtop,susipudjiastuti
Democrazy2221,susipudjiastuti
papamarcel75,podo_ora_dong
KikiNmaKecilku,susipudjiastuti
chemitz,susipudjiastuti
tomyprayogi,susipudjiastuti
myOT5,susipudjiastuti
SDhanarindra,ijonriduan
dodi_ahmad07,CNNIndonesia
dodi_ahmad07,SantorinisSun
dodi_ahmad07,prastow BeritaBaru_news hadiprayitno82
Cahyo6212,susipudjiastuti
Cahyo6212,AdhieMassardi
Cahyo6212,podoradong
ladela_21,susipudjiastuti
hu5en,susipudjiastuti
RizkaIrawan4,susipudjiastuti
