source,target
HannaKartika,Pak_GuruSD Arnolduswea_ wie_ing27 graciaveronica
andriansetiaa,Pak_GuruSD Arnolduswea_ tuwik71 Hokage__Konoha
PortPriok,podoradong
AstomoIrianto,FerdinandHaean3
Koleksi_Cerita,Sarahshailendr4
Koleksi_Cerita,Sarahshailendr4
Koleksi_Cerita,Sarahshailendr4
AriestaRiico_,myozhyme
AriestaRiico_,LaskarSakti
AriestaRiico_,WahabisLokal jokowi
AriestaRiico_,WahabisLokal
TheMaximvs09,diahrafika4
TheMaximvs09,JokoHQ
mo2nandback,prdsdefbirds subtanyarl
rizayudis,geloraco
cakeptamvan,edimaha233
island_zero,BaleBengong
wikuas,analbumofmylife
lalatus_,txtdrpemerintah
setiajiiii,khilyaaaaa txtdrpemerintah
amarthaid,halofina_id
Bajulburas,podoradong
RFauzy5,geloraco
mus_tanjung,geloraco
iniMiqdad,ShennaAriendr
LendraKusuma,geovinaa
marlinaiar,FerdinandHaean3
lantip,mokiatsu
AyyubMaulana2,Irfansyahirawan MiziRisqa JajaAtmaja yunartowijaya jokowi
RepublikIni,geloraco
chocollatespicy,04_adisetiawan
HARIMAU_JAYA,geloraco airlangga_hrt
Jesteriann,masinusina muuumtazz amandrug
JOINLampung,ChusnulSyantik willona_007
risetioz,eric_naganamora
pangurbannn,moonlighttlv
karimnas_,wearetreasury
mutegoesto,selay564 BTS_twt
clzahmad,txtdrpemerintah
fryansatria,FiersaBesari
deeearta,detikfinance mohmahfudmd
MrsRachelIn,Yudha60945966 Dennysiregar7 DivHumas_Polri
MrsRachelIn,LOVE_AG4EVER
MrsRachelIn,03__nakula aniesbaswedan DKIJakarta NinjaCir3ng Rahman_Nashir mielkyadwi Socials42094022 Ari3Pras bhre_wengker84 Cebongmilitan1 andri_attitude
MrsRachelIn,FirzaHusain
MrsRachelIn,HusinShihab FerdinandHaean3 aniesbaswedan NikitaMirzani DKIJakarta 4Y4NKZ Hanifah933 ProfYLH kurawa P3nj3l4j4h_id PartaiSocmed narkosun kangdede78 Uki23
MrsRachelIn,Bengkeltanah1
MrsRachelIn,kantayu hamaro_id
MrsRachelIn,BecaMamat
ndrewwolf,geloraco
ndrewwolf,detikcom detikfinance
ndrewwolf,geloraco
svuegi,RPFeed
ZikriAlif7,geloraco
pejuangind01,jr_kw19
JhonaMerah,geloraco
brdpk,detikfinance
Geusan1,geloraco ChristWamea
Ameeramantika,SultanSyam10
johanwahyudiono,geloraco
ChSuhendar,geloraco ChristWamea
ChSuhendar,geloraco ChristWamea
imamrachman,Akbarmahasa detikcom
Salihova12,NewsMuslimah
abraham44289237,ancot_indonesia idimafla republikaonline
AgustinaYurisa,detikcom detikfinance
agfilistian,bighit_merch weverseshop
IsoWira,TofaTofa_id
lutherjenner,VIVAcoid
lutherjenner,fadlizon
lutherjenner,detikfinance
PuapuaDede1,geloraco
Khoesaidi1,geloraco
salamander_bay,detikcom
TawakalBack,detikcom detikfinance jokowi
DadangSuhanda92,detikcom detikfinance
Bangkit55489150,KyaiTebas ChristWamea Melody4490 katzefaule Stevaniehuangg kodimbardo1 Muslim_AntiPKI ONCOMBNDUNG ANDINI_MAHARAN1 geloraco hamidahjusri1 LaillyFadillah handokopraseti2 Makbongky3 LisaAmartatara3 idtodayco
IndraKu57360707,detikcom detikfinance
asik_mulu,geloraco
akisanak,geloraco
hdkanjeng,detikcom
budialims,detikcom detikfinance
AdamPena251,geloraco
trinice0504,geloraco
adinusai,geloraco
joni89740306,geloraco
scsuroso,geloraco
HasanuddinAhma2,geloraco
joezenzie,Mylova211
Giman28217047,geloraco
Ponorogo_Berkah,YouTube
Ponorogo_Berkah,YouTube
Sarahshailendr4,KumpulanCerit12
Sarahshailendr4,KumpulanCerit12
yo2k_k,DTanjung15
yo2k_k,msaid_didu
PerishableVey,jr_kw19 AirinAirin_NZ
AdibAlifNN,dzekhoy hafizddarmawan
AdibAlifNN,dzekhoy hafizddarmawan
MondlightA,AntiPengPeng
dzekhoy,AdibAlifNN hafizddarmawan
SJayarini,aniesbaswedan
raratriw,ybcosahn
EdiManik6,GeiszChalifah
rizieqdivist,MrsRachelIn
rizieqdivist,meow_leader DTanjung15
Rizkadani4,MMC_IDN
stylistcutex,cnbcindonesia
naitsuga_,aishakinaaa
andikaabdas,ichairunissaa
fauzanindonisi,SINDOnews
kodok_pacman,MaspiyuO
YennyAn91642232,fadlizon
IlhamRizaldi17,MYusron13703120 e100ss
D14h_S03w4rn05,ancot_indonesia
berliawann,nagin_xigie
kumalaaaaaaa,Manusia19727828
zuriswanfajri,Rin_niswa Alvin_BKT yunartowijaya aniesbaswedan ridwankamil BimaAryaS prabowo jokowi Gerindra fadlizon AgusYudhoyono
RRIPrograma3,RRI
tresnowicaksono,Rexi_Chesi
tresnowicaksono,Rexi_Chesi
KamarullahH,DJRachbini
KamarullahH,DJRachbini
KamarullahH,smindrawatii jokowi
KamarullahH,DJRachbini
Iman99966260,tempodotco
AkbarKaromput,Rizky_Satriaa
Nishhh44,gks_drg womanfeeds_id
Nishhh44,womanfeeds_id
BrokenArdi,Adhitya_Kes
BrokenArdi,TitinPriuji Mas_Angga_ aldikocan Adhitya_Kes
aitakattroll,ragunsa _anatera tekupla
AdiyatJatiW,Dwiciptasaja
AdiyatJatiW,ermayuliati
Bekanta05308888,Hilmi28
KompasKlasika,eileenrachman
kanurhss,ceritatehfidy
kanurhss,ceritatehfidy
chandra_siap,KPU_ID mas_abudiman novida_evi hsym_asyari PramonoUtan viryanazis
bhre_wengker84,MrsRachelIn
johnxnct,dooyonq jxungwoonct
Jhon9935681487,jansen_jsp msaid_didu
senengseneng69,yourbebb
ferdymad,airlangga_hrt aniesbaswedan jokowi aik_arif
ferdymad,Dikot38989316 jokowi PerekonomianRI airlangga_hrt aniesbaswedan drpriono1
Sangpen57494536,habibthink
Sangpen57494536,Dennysiregar7
kucnglucuu,mrshananto
mrshananto,kucnglucuu
gerri_ardian,Adi_8002 msaid_didu aniesbaswedan
rae2154,monstasaurus ulinhari
LutfiMbah,em_khlina Dennysiregar7
LutfiMbah,Dennysiregar7
19d5ARIN,19d5JINAH
DLDCRO,jokowi
kuroo2,SM061295
MYusron13703120,e100ss
spinyleaf,ogiwicaksana yadiwinarto firmanyursak
RizkaIrawan4,LOVE_AG4EVER jokowi
EkaJepp,MrsRachelIn KontanNews
vindazcorin,avigrandiss bunnja
adie_es,recehtapisayng
DirgantaraRaha1,andrianatan Simaraja1 ridwankamil
siripitipi,rizarisarija nowthisnews rizarisarija
bgzd_,sbyfess
Munawarfuad,tvOneNews NajwaShihab DeddyCorbuzier1 gusmiftah_
ferdiansamulya,Helmyname
tifarogemere,Alterthingy_
aselisnack,fadjroeL
kanganjay,kakekharam BungIndra8 msaid_didu aniesbaswedan
adalahiu,TsamaraDKI
adalahiu,yunartowijaya
adalahiu,fadjroeL
adalahiu,Kanseulir
david_millit,msaid_didu ridwankamil aniesbaswedan
hanifyahyaasya1,IwakTukang _bayangan_semar
Ceceelooo,sbyfess
saifuddeen89,firmanyursak
saifuddeen89,umar_hasibuan75 adiasik2007 aniesbaswedan
